,station,g1,g2,P1,P2
1,3,0.417136154,-0.335906418,0.946875489,1.449938283
2,3,0.822654559,-0.45258097,0.708131508,0.583666564
3,3,0.735137624,0.202401756,1.489618006,0.876146119
4,3,-1.166448938,0.091695105,0.577363208,1.109695076
5,3,-1.2471114,0.215701794,-0.072976977,-0.711894955
6,3,-0.787566346,0.469503988,0.220785013,-0.627256379
7,3,0.289437343,0.447126977,-0.466540618,1.424911217
8,3,0.321737218,0.146196258,-1.57437017,0.022018698
9,3,0.57687489,0.273993464,-0.491530198,0.034970155
10,3,1.82314511,0.964441916,-0.186152,0.310436345
11,3,1.756426923,-0.161991473,-0.17102008,0.238878666
12,3,2.072696413,0.656958271,0.169323531,0.244320734
13,3,2.0760269,0.790994299,0.495755173,1.97876708
14,3,1.167256744,0.467194319,1.847640612,1.16692338
15,3,0.112516608,-0.088681366,1.724851737,0.572448953
16,3,0.780949191,-0.965189118,0.829719482,0.938421606
17,3,0.248944248,-0.633197864,0.823429995,-0.052570847
18,3,-0.415566542,-0.985721002,0.735106304,-0.142389712
19,3,-0.905031335,-0.520772853,0.398521377,-0.568921465
20,3,-0.77480608,-0.313936388,0.366483728,-1.236452053
21,3,0.603367332,-0.613976142,0.413550595,-0.94626962
22,3,0.361468946,-0.679416732,1.117892019,-0.062552356
23,3,-0.163857373,-1.554360872,-0.338602895,0.667233611
24,3,-0.432200603,-1.262869894,-0.578364691,0.038014294
25,3,0.717706237,-0.133105889,-0.837365454,-0.627115409
26,3,0.586711104,-1.413760526,-0.914228467,-0.02263685
27,3,0.456215196,-0.223749457,-1.047160153,0.429137272
28,3,0.942254811,-0.929920409,-0.69906976,0.495646136
29,3,1.425890821,0.297489167,0.060428359,1.798645296
30,3,2.214131861,-0.878249831,0.510979826,1.225111727
31,3,2.306203773,-0.805944562,0.951289344,0.228563722
32,3,1.036834215,-0.033473052,0.646578345,1.465474713
33,3,1.000537617,-0.045840412,1.345408954,0.620119245
34,3,1.404399622,-0.149803094,0.226075809,1.225503763
35,3,1.558611757,0.326191795,1.111746849,0.962113047
36,3,0.252444468,-0.018825879,1.319064616,1.452144016
37,3,0.326886707,0.415385765,0.600813923,0.782896938
38,3,0.470698264,0.118448575,-0.159669058,1.300808569
39,3,0.29154214,0.050262626,-0.643638622,1.55230181
40,3,0.143461917,-0.136354557,0.266269485,1.983192598
41,3,-0.565082957,0.194908508,0.455576554,1.14226789
42,3,-1.13021637,0.219580031,-0.115490398,-0.132105005
43,3,-1.311481102,0.308530743,0.031526362,0.015134652
44,3,-1.432201096,0.514024308,-0.399707819,-0.891163205
45,3,-0.000281113,1.298184632,-0.756614447,0.164310143
46,3,0.215383658,1.187447295,-0.729153848,0.382589979
47,3,1.365562397,1.693287119,-0.264907092,0.280367889
48,3,0.640207004,0.941909926,0.218143415,0.055381798
49,3,0.532118983,0.348268421,-0.288789946,-0.279804509
50,3,0.772666216,0.024185455,-0.091429777,0.286404048
51,3,1.106615017,0.072738463,0.341514658,-0.574155485
52,3,1.705266768,0.499097583,0.173501396,-0.023174265
53,3,1.780343305,1.135041115,0.100770205,0.887224928
54,3,1.763706533,0.784914691,0.083627549,0.757867035
55,3,1.727700719,0.005636839,-0.280556661,1.333975767
56,3,0.616038569,-0.207134744,0.001841191,1.847784999
57,3,0.81551246,0.466461187,-0.335136267,1.187345405
58,3,0.659375867,1.008250029,0.495051716,-0.024349483
59,3,-0.042948163,0.608942629,0.935482957,-0.257426497
60,3,-1.003766982,-0.60106804,0.53101,0.475125563
61,3,-0.781237058,-0.812565417,0.721415897,0.58231069
62,3,0.141246288,-0.589724845,0.188520841,-0.979239675
63,3,0.638382433,-1.433257313,0.446133219,-1.147991424
64,3,0.525941934,-0.838576795,0.601352713,-0.273756806
65,3,-0.167134681,-0.185832547,0.373058845,-0.153012441
66,3,0.835022514,-0.937729966,0.384080225,-0.407848719
67,3,1.657405083,-0.795601635,0.891917944,0.936876801
68,3,1.211973639,-0.036643744,1.181866119,1.169187997
69,3,0.100153492,0.199543347,0.62106418,1.165901773
70,3,0.347482566,0.317529554,0.532784424,0.447446337
71,3,0.663308413,-0.070964414,0.054122087,0.524168826
72,3,0.728392764,-0.223619726,0.396758532,0.383006613
73,3,0.843802646,-0.33455588,0.253576362,0.728958504
74,3,0.057194521,-0.372810386,-0.142275342,0.529072978
75,3,-0.293881829,-0.378210569,0.680986154,-0.715079967
76,3,-1.043618422,-0.9522536,-0.237075807,0.110409412
